<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.08.29	500.46	508.66	495.29	503.37	23831	0	0
2014.09.01	472.79	482.62	466.18	468.91	29001	0	0
2014.09.02	468.98	478.53	464.43	468.31	27531	0	0
2014.09.03	467.78	471.99	465.01	468.00	13741	0	0
2014.09.04	468.64	490.99	465.08	482.53	37931	0	0
2014.09.05	482.52	483.78	471.80	472.55	13991	0	0
2014.09.08	470.41	472.39	451.69	461.87	32861	0	0
2014.09.09	462.09	470.37	453.98	467.28	27591	0	0
2014.09.10	467.27	485.98	467.27	471.18	33511	0	0
2014.09.11	471.19	473.93	461.93	470.46	23271	0	0
2014.09.12	470.45	471.96	456.07	465.49	26821	0	0
2014.09.15	468.80	473.23	461.76	463.36	17501	0	0
2014.09.16	463.37	467.59	456.01	457.39	17181	0	0
2014.09.17	457.38	459.22	437.60	446.54	32401	0	0
2014.09.18	446.55	446.55	403.17	419.71	59921	0	0
2014.09.19	419.73	422.98	372.79	394.79	75441	0	0
2014.09.22	394.16	403.11	390.32	394.02	25441	0	0
2014.09.23	393.63	446.62	387.69	433.91	77581	0	0
2014.09.24	433.92	435.02	412.87	417.62	28001	0	0
2014.09.25	417.63	417.86	393.99	403.42	33531	0	0
2014.09.26	403.43	408.23	390.63	400.41	32181	0	0
2014.09.29	369.28	380.02	362.10	367.69	34251	0	0
2014.09.30	368.00	391.70	365.82	384.28	35481	0	0
2014.10.01	384.32	387.03	371.49	377.95	24711	0	0
2014.10.02	377.96	379.64	366.07	369.46	18641	0	0
2014.10.03	368.99	371.93	351.68	352.34	23851	0	0
2014.10.06	316.49	340.97	289.96	322.25	96261	0	0
2014.10.07	321.95	330.66	306.46	328.80	41551	0	0
2014.10.08	328.32	352.08	320.96	349.46	41101	0	0
2014.10.09	349.75	385.67	343.02	358.42	76631	0	0
2014.10.10	358.45	374.04	345.16	352.24	51551	0	0
2014.10.13	373.06	398.15	362.08	386.31	58891	0	0
2014.10.14	386.55	410.66	385.31	396.68	40571	0	0
2014.10.15	396.67	397.81	380.30	388.05	26401	0	0
2014.10.16	388.06	392.89	364.11	377.40	46901	0	0
2014.10.17	377.41	379.60	365.05	376.76	28451	0	0
2014.10.20	382.33	383.62	370.21	375.18	19671	0	0
2014.10.21	374.63	387.14	372.99	379.47	23461	0	0
2014.10.22	379.49	382.83	374.07	376.49	14521	0	0
2014.10.23	376.43	378.12	346.50	350.87	37681	0	0
2014.10.24	350.86	357.50	338.40	350.86	38201	0	0
2014.10.27	348.79	352.63	343.22	344.51	14541	0	0
2014.10.28	344.52	351.69	344.30	349.25	10051	0	0
2014.10.29	349.26	349.98	327.97	329.86	24621	0	0
2014.10.30	329.87	346.81	327.79	339.70	28211	0	0
2014.10.31	339.69	341.96	330.01	336.38	20591	0	0
2014.11.03	318.12	327.99	316.82	319.98	20481	0	0
2014.11.04	319.97	326.87	315.47	323.84	18931	0	0
2014.11.05	323.85	338.15	322.84	331.76	22711	0	0
2014.11.06	331.77	347.09	330.31	343.89	21441	0	0
2014.11.07	343.90	345.58	334.49	336.50	14781	0	0
2014.11.10	358.96	371.25	351.38	360.18	38521	0	0
2014.11.11	360.56	365.48	354.32	363.86	19021	0	0
2014.11.12	363.85	428.72	363.39	420.33	74181	0	0
2014.11.13	420.23	447.92	376.23	413.39	136541	0	0
2014.11.14	412.99	414.03	376.97	392.65	53781	0	0
2014.11.17	383.85	408.88	370.11	382.22	75911	0	0
2014.11.18	382.23	388.62	365.22	368.44	33011	0	0
2014.11.19	368.42	380.20	365.71	372.67	24731	0	0
2014.11.20	372.68	375.39	346.12	350.36	36221	0	0
2014.11.21	350.37	352.45	336.10	344.60	26931	0	0
2014.11.24	361.67	383.98	360.83	369.55	38421	0	0
2014.11.25	370.36	389.06	368.32	370.71	41131	0	0
2014.11.26	370.55	372.50	357.76	362.46	21391	0	0
2014.11.27	362.45	369.32	360.92	363.64	15611	0	0
2014.11.28	363.61	373.99	352.00	373.35	34241	0	0
2014.12.01	369.94	376.29	367.28	370.52	17441	0	0
2014.12.02	370.89	376.87	369.40	373.12	12711	0	0
2014.12.03	373.16	376.00	368.14	369.94	12501	0	0
2014.12.04	369.95	372.99	358.00	362.48	22511	0	0
2014.12.05	362.61	371.89	359.62	370.18	16971	0	0
2014.12.08	370.65	371.06	353.05	356.03	21401	0	0
2014.12.09	356.02	357.71	338.31	345.44	28221	0	0
2014.12.10	345.39	346.96	339.01	339.73	10241	0	0
2014.12.11	339.74	358.42	333.83	342.76	46161	0	0
2014.12.12	342.75	352.39	342.16	346.79	16421	0	0
2014.12.15	350.92	350.95	340.34	342.47	12771	0	0
2014.12.16	342.41	343.35	321.35	322.85	24441	0	0
2014.12.17	322.86	329.99	309.26	315.67	34271	0	0
2014.12.18	315.66	319.31	298.99	306.57	31551	0	0
2014.12.19	306.33	312.02	301.21	310.94	17011	0	0
2014.12.22	314.44	327.99	313.94	326.05	16491	0	0
2014.12.23	326.06	332.99	321.78	330.37	18111	0	0
2014.12.24	330.40	330.68	320.60	320.60	10361	0	0
2014.12.26	313.52	325.83	310.65	324.39	19491	0	0
2014.12.29	311.56	314.14	305.03	307.20	13861	0	0
2014.12.30	307.19	310.62	304.01	305.34	11371	0	0
2014.12.31	305.35	312.93	304.79	310.30	11331	0	0
2015.01.01	309.20	310.46	307.97	308.31	4091	0	0
2015.01.02	308.30	310.83	305.97	308.84	9181	0	0
2015.01.05	258.41	274.00	258.15	271.25	18861	0	0
2015.01.12	261.16	266.42	257.55	261.22	17681	0	0
2015.01.13	261.11	261.76	210.06	221.01	63301	0	0
2015.01.14	221.34	224.81	146.47	165.71	101051	0	0
