time,open,high,low,close,BuyBias,SellBias,TP1-Sell,TP1-Buy,TP2-Sell,TP2-Buy,TP3-Sell,TP3-Buy,Median,New Moon,First Moon,Waning,Full Moon,1/8,3/8,5/8,7/8,Spring,Summer,Fall,midwinter,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),%K,%D
2015-09-22,403.18848,411.58824,399.828576,401.508528,403.78852000000006,399.78852000000006,401.56616584000005,402.01087416000007,401.7705600000001,403.2064400000001,399.08864000000005,404.48840000000007,401.78852000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,403.18848,411.58824,399.828576,401.508528,22.807017543859672,22.121395442629595
2015-09-23,401.508528,449.38716,399.828576,428.38776,406.308448,402.308448,401.198256352,407.418639648,398.410656,407.40632,394.048784,414.56811200000004,404.308448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,401.508528,449.38716,399.828576,428.38776,33.479532163742704,27.2921287894065
2015-09-25,432.58764,453.58704,424.18788,428.38776,427.86783199999996,423.86783199999996,408.31845291199994,443.417211088,403.73050399999994,450.5250879999999,377.80924799999997,473.9264159999999,425.86783199999996,NaN,NaN,NaN,NaN,NaN,482.9862,NaN,NaN,0,0,0,0,432.58764,453.58704,424.18788,428.38776,42.65632028789923,32.980956665167206
2015-09-28,428.38776,432.58764,404.868432,404.868432,437.38756000000006,433.38756000000006,425.5390808800001,445.23603912000004,418.57008000000013,445.2052400000001,407.48840000000007,463.28672,435.38756000000006,NaN,NaN,NaN,377.14922399999995,NaN,NaN,NaN,NaN,0,0,0,0,428.38776,432.58764,404.868432,404.868432,40.98290598290597,39.0395861448493
2015-09-29,404.868432,407.38836,390.58884,399.828576,416.108168,412.108168,404.901430544,423.31490545599996,397.01069599999994,421.96590399999997,387.88895999999994,440.32737599999996,414.108168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,404.868432,407.38836,390.58884,399.828576,26.427350427350405,36.6888588993852
2015-09-30,403.18848,428.38776,398.9886,408.228336,401.26859200000007,397.26859200000007,394.2331753600001,404.30400864000006,392.53082400000017,406.56634400000013,383.9690720000001,414.56811200000004,399.26859200000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,403.18848,428.38776,398.9886,408.228336,17.81196581196579,28.40740740740739
2015-10-01,411.58824,428.38776,407.38836,408.228336,413.868232,409.868232,402.01975288,421.71671111999996,396.73070399999995,423.36586399999993,383.969072,439.767392,411.868232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,411.58824,428.38776,407.38836,408.228336,23.55555555555556,22.59829059829059
2015-10-02,408.228336,417.468072,403.18848,404.028456,416.668152,412.668152,408.0283812,421.30792280000003,402.33054400000003,420.56594400000006,395.168752,434.16755200000006,414.668152,NaN,NaN,NaN,NaN,NaN,NaN,388.90888800000005,NaN,0,0,0,0,408.228336,417.468072,403.18848,404.028456,29.333333333333343,23.56695156695157
2015-10-05,409.068312,413.268192,404.028456,404.028456,410.22833599999996,406.22833599999996,404.155531856,412.30114014399993,400.3705999999999,411.8861919999999,395.448744,421.007928,408.22833599999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,409.068312,413.268192,404.028456,404.028456,31.85185185185185,28.246913580246922
2015-10-06,411.58824,432.58764,407.38836,414.108168,409.108368,405.108368,404.960788848,409.255947152,402.330544,408.80627999999996,399.368632,414.8481039999999,407.108368,NaN,NaN,378.82917599999996,NaN,NaN,NaN,NaN,NaN,0,0,0,0,411.58824,432.58764,407.38836,414.108168,37.51851851851847,32.90123456790123
